service_id,customer_id,service_type,start_date
1,1,Mobile,2025-01-26
2,2,Cloud,2022-08-07
3,3,TV,2025-07-04
4,4,Mobile,2024-03-23
5,5,Cloud,2023-04-07
6,6,TV,2024-09-22
7,7,Cloud,2023-01-23
8,8,Banking,2025-06-14
9,9,TV,2022-09-10
10,10,Banking,2025-04-01
11,11,Cloud,2024-01-03
12,12,Banking,2025-05-16
13,13,Banking,2023-10-15
14,14,Internet,2025-02-10
15,15,Internet,2023-06-25
16,16,TV,2022-10-28
17,17,TV,2023-07-05
18,18,Banking,2022-08-08
19,19,Cloud,2023-02-04
20,20,Internet,2024-03-23
21,21,TV,2024-04-04
22,22,Cloud,2024-11-26
23,23,Cloud,2023-07-19
24,24,Mobile,2023-01-07
25,25,Mobile,2023-07-04
26,26,Cloud,2025-07-08
27,27,Cloud,2023-04-05
28,28,Internet,2022-12-19
29,29,Banking,2025-02-11
30,30,Cloud,2023-01-08
31,31,Banking,2023-09-04
32,32,Banking,2023-07-20
33,33,Mobile,2024-01-21
34,34,Cloud,2023-02-23
35,35,TV,2024-10-24
36,36,Cloud,2023-01-14
37,37,Banking,2022-11-11
38,38,TV,2023-08-08
39,39,Banking,2022-09-04
40,40,Mobile,2023-06-15
41,41,Mobile,2023-02-16
42,42,Internet,2025-01-10
43,43,Banking,2024-04-24
44,44,Internet,2024-05-13
45,45,Banking,2024-08-17
46,46,Cloud,2022-12-26
47,47,Banking,2025-04-30
48,48,Mobile,2024-11-12
49,49,Cloud,2025-04-08
50,50,Banking,2023-08-08
51,51,Mobile,2023-10-24
52,52,Banking,2023-02-18
53,53,TV,2022-11-09
54,54,TV,2023-08-10
55,55,Banking,2023-09-13
56,56,Mobile,2024-10-31
57,57,Cloud,2025-02-10
58,58,Cloud,2023-06-16
59,59,TV,2025-05-31
60,60,TV,2023-12-14
61,61,Cloud,2022-12-13
62,62,TV,2023-03-22
63,63,Mobile,2022-10-01
64,64,Internet,2022-11-12
65,65,Banking,2024-10-28
66,66,Mobile,2023-04-02
67,67,Banking,2023-11-21
68,68,TV,2024-08-31
69,69,Cloud,2022-10-11
70,70,Mobile,2024-12-04
71,71,TV,2023-05-31
72,72,TV,2022-10-08
73,73,Internet,2023-11-02
74,74,Banking,2025-02-13
75,75,Banking,2025-07-12
76,76,Internet,2024-05-19
77,77,Cloud,2022-10-10
78,78,Internet,2025-05-10
79,79,TV,2025-05-13
80,80,Mobile,2023-09-06
81,81,Cloud,2024-06-12
82,82,Internet,2022-11-08
83,83,Mobile,2024-04-02
84,84,TV,2023-12-27
85,85,Internet,2025-02-22
86,86,Mobile,2022-09-16
87,87,Banking,2022-10-08
88,88,TV,2024-11-12
89,89,TV,2022-10-25
90,90,Banking,2023-05-12
91,91,TV,2024-06-23
92,92,Mobile,2025-03-25
93,93,Mobile,2023-10-11
94,94,Banking,2024-02-11
95,95,Banking,2022-10-22
96,96,Banking,2024-10-24
97,97,Banking,2024-01-27
98,98,Banking,2025-02-22
99,99,Mobile,2024-03-15
100,100,Mobile,2024-04-11
101,101,Mobile,2024-07-04
102,102,Cloud,2022-11-27
103,103,Banking,2023-11-09
104,104,Internet,2025-04-23
105,105,Internet,2024-09-05
106,106,Mobile,2022-08-11
107,107,Internet,2022-08-15
108,108,Internet,2024-03-19
109,109,Cloud,2025-03-16
110,110,Cloud,2022-11-16
111,111,Internet,2022-10-29
112,112,Cloud,2024-06-23
113,113,TV,2025-04-12
114,114,Mobile,2023-12-16
115,115,Banking,2023-10-19
116,116,TV,2023-06-11
117,117,Internet,2024-11-19
118,118,Mobile,2022-08-08
119,119,Cloud,2024-05-12
120,120,TV,2022-12-25
121,121,TV,2023-05-09
122,122,Internet,2024-01-19
123,123,Banking,2022-12-16
124,124,Internet,2023-04-30
125,125,Cloud,2024-09-07
126,126,Internet,2025-03-23
127,127,Internet,2024-11-27
128,128,Banking,2025-04-19
129,129,Banking,2023-08-28
130,130,TV,2022-12-30
131,131,Banking,2025-01-21
132,132,Internet,2022-07-27
133,133,Internet,2024-05-15
134,134,Cloud,2024-09-18
135,135,Banking,2024-04-21
136,136,Cloud,2024-10-31
137,137,Cloud,2022-09-17
138,138,Internet,2023-12-25
139,139,Cloud,2023-07-30
140,140,Internet,2024-11-05
141,141,TV,2023-07-03
142,142,Cloud,2024-03-12
143,143,Cloud,2025-07-12
144,144,Mobile,2024-08-27
145,145,Banking,2025-06-02
146,146,TV,2025-03-10
147,147,Mobile,2024-11-06
148,148,Mobile,2024-02-27
149,149,TV,2025-05-29
150,150,Cloud,2024-02-19
151,151,Banking,2024-02-13
152,152,Mobile,2022-07-15
153,153,Mobile,2024-01-26
154,154,Banking,2024-10-05
155,155,Internet,2024-03-21
156,156,TV,2023-03-09
157,157,TV,2024-01-07
158,158,TV,2022-11-18
159,159,Cloud,2025-01-30
160,160,Internet,2024-03-05
161,161,Cloud,2022-09-20
162,162,TV,2024-01-06
163,163,Banking,2024-11-17
164,164,TV,2023-01-27
165,165,Banking,2024-10-25
166,166,Cloud,2022-10-28
167,167,Internet,2023-08-23
168,168,Banking,2022-12-15
169,169,Internet,2023-12-30
170,170,Internet,2025-06-01
171,171,TV,2025-03-31
172,172,Internet,2023-12-10
173,173,Mobile,2023-04-17
174,174,Mobile,2024-11-22
175,175,Banking,2023-04-15
176,176,Mobile,2022-08-31
177,177,Cloud,2022-11-10
178,178,Banking,2025-04-14
179,179,Cloud,2024-07-16
180,180,TV,2025-02-23
181,181,Banking,2022-12-27
182,182,Cloud,2024-07-20
183,183,Internet,2023-08-23
184,184,TV,2025-05-27
185,185,Banking,2023-06-21
186,186,Internet,2023-10-07
187,187,Cloud,2024-10-20
188,188,Internet,2025-02-01
189,189,Internet,2024-03-20
190,190,Mobile,2025-01-13
191,191,Cloud,2024-06-16
192,192,Cloud,2023-09-18
193,193,Internet,2023-03-18
194,194,Mobile,2023-04-14
195,195,Mobile,2022-09-01
196,196,Internet,2025-05-07
197,197,Cloud,2025-06-14
198,198,TV,2022-10-02
199,199,Banking,2024-08-28
200,200,Cloud,2024-11-30
201,201,Mobile,2023-11-20
202,202,TV,2025-02-08
203,203,Internet,2024-10-02
204,204,Cloud,2023-01-07
205,205,TV,2023-07-16
206,206,TV,2023-12-31
207,207,TV,2025-04-07
